ensembl_gene_id_a	ensembl_gene_id_b	n_publications	n_methods	n_evidences
ENSG00000107593	ENSG00000129991	1	2	2
ENSG00000121022	ENSG00000131747	2	3	3
ENSG00000146674	ENSG00000253729	1	2	2
ENSG00000082458	ENSG00000131558	1	2	2
ENSG00000107186	ENSG00000278195	1	2	2
ENSG00000012048	ENSG00000131508	2	3	4
ENSG00000135441	ENSG00000196072	2	3	3
ENSG00000118260	ENSG00000204209	1	2	2
ENSG00000189114	ENSG00000196072	1	2	2
ENSG00000111254	ENSG00000147081	1	2	2
ENSG00000108946	ENSG00000147081	2	2	3
ENSG00000116903	ENSG00000181404	1	3	3
ENSG00000131381	ENSG00000168118	1	2	2
ENSG00000109062	ENSG00000147065	2	3	3
ENSG00000131381	ENSG00000144566	4	3	5
ENSG00000121022	ENSG00000141510	4	3	5
ENSG00000121022	ENSG00000160255	1	2	2
ENSG00000010810	ENSG00000121774	7	5	8
ENSG00000121022	ENSG00000177606	4	4	5
ENSG00000082175	ENSG00000121022	1	2	2
ENSG00000116903	ENSG00000144118	4	3	5
ENSG00000065371	ENSG00000111254	1	2	2
ENSG00000079246	ENSG00000253729	14	7	14
ENSG00000113558	ENSG00000119402	9	5	10
ENSG00000111907	ENSG00000166913	2	4	4
ENSG00000107807	ENSG00000113575	1	2	2
ENSG00000185591	ENSG00000197386	2	3	4
ENSG00000102081	ENSG00000103275	2	2	2
ENSG00000102081	ENSG00000102081	4	4	4
ENSG00000110801	ENSG00000135486	2	3	3
ENSG00000105397	ENSG00000121022	1	2	2
ENSG00000137331	ENSG00000164615	1	2	2
ENSG00000108106	ENSG00000150991	3	3	4
ENSG00000196504	ENSG00000197386	3	3	4
ENSG00000146648	ENSG00000164615	3	4	4
ENSG00000164615	ENSG00000240505	3	2	4
ENSG00000026103	ENSG00000026103	4	2	4
ENSG00000096401	ENSG00000110107	6	4	6
ENSG00000141027	ENSG00000197386	2	1	2
ENSG00000135486	ENSG00000213341	1	2	2
ENSG00000108106	ENSG00000170315	1	2	2
ENSG00000102081	ENSG00000129245	5	3	6
ENSG00000102081	ENSG00000114416	4	4	5
ENSG00000110107	ENSG00000129521	1	2	2
ENSG00000104064	ENSG00000172534	1	2	2
ENSG00000143190	ENSG00000165684	2	2	2
ENSG00000090989	ENSG00000126775	1	2	2
ENSG00000159176	ENSG00000159176	1	2	2
ENSG00000163625	ENSG00000170296	2	3	3
ENSG00000087086	ENSG00000197386	1	2	2
ENSG00000100151	ENSG00000170775	1	2	2
ENSG00000127948	ENSG00000130649	3	2	3
ENSG00000090989	ENSG00000145016	1	2	2
ENSG00000090989	ENSG00000131558	4	3	4
ENSG00000035862	ENSG00000087245	8	7	11
ENSG00000121022	ENSG00000151617	1	2	2
ENSG00000138115	ENSG00000138115	1	2	2
ENSG00000090989	ENSG00000112685	2	2	2
ENSG00000110107	ENSG00000110107	3	4	5
ENSG00000129071	ENSG00000197386	1	2	2
ENSG00000138080	ENSG00000138080	1	3	3
ENSG00000100151	ENSG00000103546	1	2	2
ENSG00000001631	ENSG00000119185	3	3	5
ENSG00000112242	ENSG00000163602	1	2	2
ENSG00000121022	ENSG00000166946	1	2	2
ENSG00000158092	ENSG00000180370	1	2	2
ENSG00000167461	ENSG00000183155	2	3	3
ENSG00000150991	ENSG00000184787	2	2	3
ENSG00000180370	ENSG00000197122	1	3	3
ENSG00000131183	ENSG00000174827	1	2	2
ENSG00000088992	ENSG00000090020	2	2	2
ENSG00000101336	ENSG00000180370	1	3	3
ENSG00000184787	ENSG00000184787	4	3	7
ENSG00000132155	ENSG00000180370	1	2	2
ENSG00000154556	ENSG00000180370	1	2	2
ENSG00000120896	ENSG00000180370	1	3	3
ENSG00000142208	ENSG00000165553	1	2	2
